Label (Grouping),Median income (dollars)
        Margin of Error,"±5,708"
ZCTA5 97144,
    Households,
        Estimate,"88,352"
        Margin of Error,"±7,263"
    Families,
        Estimate,"88,828"
        Margin of Error,"±33,078"
    Married-couple families,
        Estimate,"88,828"
        Margin of Error,"±33,078"
    Nonfamily households,
        Estimate,"88,080"
        Margin of Error,"±63,147"
ZCTA5 97145,
    Households,
        Estimate,"96,848"
        Margin of Error,"±19,865"
    Families,
        Estimate,"120,375"
        Margin of Error,"±51,992"
    Married-couple families,
        Estimate,"120,375"
        Margin of Error,"±51,992"
    Nonfamily households,
        Estimate,-
        Margin of Error,**
ZCTA5 97146,
    Households,
        Estimate,"76,750"
        Margin of Error,"±9,257"
    Families,
        Estimate,"78,948"
        Margin of Error,"±9,540"
    Married-couple families,
        Estimate,"89,104"
        Margin of Error,"±14,589"
    Nonfamily households,
        Estimate,"54,583"
        Margin of Error,"±14,154"
ZCTA5 97147,
    Households,
        Estimate,"43,125"
        Margin of Error,"±13,879"
    Families,
        Estimate,"61,750"
        Margin of Error,"±29,890"
    Married-couple families,
        Estimate,"79,000"
        Margin of Error,"±15,507"
    Nonfamily households,
        Estimate,"33,750"
        Margin of Error,"±9,367"
ZCTA5 97148,
    Households,
        Estimate,"98,320"
        Margin of Error,"±20,276"
    Families,
        Estimate,"100,735"
        Margin of Error,"±14,418"
    Married-couple families,
        Estimate,"106,438"
        Margin of Error,"±18,435"
    Nonfamily households,
        Estimate,"64,265"
        Margin of Error,"±17,371"
ZCTA5 97149,
    Households,
        Estimate,"76,055"
        Margin of Error,"±30,496"
    Families,
        Estimate,"76,641"
        Margin of Error,"±18,530"
    Married-couple families,
        Estimate,"76,484"
        Margin of Error,"±26,386"
    Nonfamily households,
        Estimate,-
        Margin of Error,**
ZCTA5 97201,
    Households,
        Estimate,"58,850"
        Margin of Error,"±8,268"
    Families,
        Estimate,"141,331"
        Margin of Error,"±22,623"
    Married-couple families,
        Estimate,"151,890"
        Margin of Error,"±30,917"
    Nonfamily households,
        Estimate,"42,355"
        Margin of Error,"±7,063"
ZCTA5 97202,
    Households,
        Estimate,"86,351"
        Margin of Error,"±5,095"
    Families,
        Estimate,"121,765"
        Margin of Error,"±13,335"
    Married-couple families,
        Estimate,"141,841"
        Margin of Error,"±10,451"
    Nonfamily households,
        Estimate,"57,052"
        Margin of Error,"±6,935"
ZCTA5 97203,
    Households,
        Estimate,"67,229"
        Margin of Error,"±4,742"
    Families,
        Estimate,"78,181"
        Margin of Error,"±9,163"
    Married-couple families,
        Estimate,"100,427"
        Margin of Error,"±11,702"
    Nonfamily households,
        Estimate,"53,280"
        Margin of Error,"±6,566"
ZCTA5 97204,
    Households,
        Estimate,-
        Margin of Error,**
    Families,
        Estimate,-
        Margin of Error,**
    Married-couple families,
        Estimate,-
        Margin of Error,**
    Nonfamily households,
        Estimate,-
        Margin of Error,**
ZCTA5 97205,
    Households,
        Estimate,"41,940"
        Margin of Error,"±9,712"
    Families,
        Estimate,"136,417"
        Margin of Error,"±34,446"
    Married-couple families,
        Estimate,"154,271"
        Margin of Error,"±28,241"
    Nonfamily households,
        Estimate,"31,067"
        Margin of Error,"±5,743"
ZCTA5 97206,
    Households,
        Estimate,"72,463"
        Margin of Error,"±3,385"
    Families,
        Estimate,"86,587"
        Margin of Error,"±3,967"
    Married-couple families,
        Estimate,"100,997"
        Margin of Error,"±3,568"
    Nonfamily households,
        Estimate,"53,910"
        Margin of Error,"±3,939"
ZCTA5 97208,
    Households,
        Estimate,-
        Margin of Error,**
    Families,
        Estimate,-
        Margin of Error,**
    Married-couple families,
        Estimate,-
        Margin of Error,**
    Nonfamily households,
        Estimate,-
        Margin of Error,**
ZCTA5 97209,
    Households,
        Estimate,"65,746"
        Margin of Error,"±6,895"
    Families,
        Estimate,"131,492"
        Margin of Error,"±28,163"
    Married-couple families,
        Estimate,"148,420"
        Margin of Error,"±21,286"
    Nonfamily households,
        Estimate,"52,500"
        Margin of Error,"±10,378"
ZCTA5 97210,
    Households,
        Estimate,"79,097"
        Margin of Error,"±15,300"
    Families,
        Estimate,"179,125"
        Margin of Error,"±18,647"
    Married-couple families,
        Estimate,"183,750"
        Margin of Error,"±17,616"
    Nonfamily households,
        Estimate,"49,327"
        Margin of Error,"±6,869"
ZCTA5 97211,
    Households,
        Estimate,"86,976"
        Margin of Error,"±8,773"
    Families,
        Estimate,"112,172"
        Margin of Error,"±11,538"
    Married-couple families,
        Estimate,"131,949"
        Margin of Error,"±5,684"
    Nonfamily households,
        Estimate,"62,774"
        Margin of Error,"±9,903"
ZCTA5 97212,
    Households,
        Estimate,"108,305"
        Margin of Error,"±5,498"
    Families,
        Estimate,"135,325"
        Margin of Error,"±13,547"
    Married-couple families,
        Estimate,"157,308"
        Margin of Error,"±15,201"
    Nonfamily households,
        Estimate,"66,325"
        Margin of Error,"±5,406"
ZCTA5 97213,
    Households,
        Estimate,"80,916"
        Margin of Error,"±6,063"
    Families,
        Estimate,"105,882"
        Margin of Error,"±10,128"
    Married-couple families,
        Estimate,"119,857"
        Margin of Error,"±14,339"
    Nonfamily households,
        Estimate,"54,332"
        Margin of Error,"±3,403"
ZCTA5 97214,
    Households,
        Estimate,"74,871"
        Margin of Error,"±4,342"
    Families,
        Estimate,"122,153"
        Margin of Error,"±15,715"
    Married-couple families,
        Estimate,"131,530"
        Margin of Error,"±4,731"
    Nonfamily households,
        Estimate,"55,677"
        Margin of Error,"±6,309"
ZCTA5 97215,
    Households,
        Estimate,"85,368"
        Margin of Error,"±7,448"
    Families,
        Estimate,"113,333"
        Margin of Error,"±9,773"
    Married-couple families,
        Estimate,"119,800"
        Margin of Error,"±14,619"
    Nonfamily households,
        Estimate,"55,274"
        Margin of Error,"±6,826"
ZCTA5 97216,
    Households,
        Estimate,"55,795"
        Margin of Error,"±5,518"
    Families,
        Estimate,"62,849"
        Margin of Error,"±6,179"
    Married-couple families,
        Estimate,"67,152"
        Margin of Error,"±4,213"
    Nonfamily households,
        Estimate,"41,905"
        Margin of Error,"±7,015"
ZCTA5 97217,
    Households,
        Estimate,"88,017"
        Margin of Error,"±2,866"
    Families,
        Estimate,"99,316"
        Margin of Error,"±6,241"
    Married-couple families,
        Estimate,"117,146"
        Margin of Error,"±5,348"
    Nonfamily households,
        Estimate,"70,417"
        Margin of Error,"±5,490"
ZCTA5 97218,
    Households,
        Estimate,"67,436"
        Margin of Error,"±3,551"
    Families,
        Estimate,"69,537"
        Margin of Error,"±6,199"
    Married-couple families,
        Estimate,"89,792"
        Margin of Error,"±9,907"
    Nonfamily households,
        Estimate,"63,056"
        Margin of Error,"±9,791"
ZCTA5 97219,
    Households,
        Estimate,"104,392"
        Margin of Error,"±7,207"
    Families,
        Estimate,"136,388"
        Margin of Error,"±4,806"
    Married-couple families,
        Estimate,"149,158"
        Margin of Error,"±5,446"
    Nonfamily households,
        Estimate,"65,469"
        Margin of Error,"±4,187"
ZCTA5 97220,
    Households,
        Estimate,"56,040"
        Margin of Error,"±2,925"
    Families,
        Estimate,"71,476"
        Margin of Error,"±9,236"
    Married-couple families,
        Estimate,"93,939"
        Margin of Error,"±7,444"
    Nonfamily households,
        Estimate,"41,639"
        Margin of Error,"±3,977"
ZCTA5 97221,
    Households,
        Estimate,"124,983"
        Margin of Error,"±16,166"
    Families,
        Estimate,"158,750"
        Margin of Error,"±22,641"
    Married-couple families,
        Estimate,"191,406"
        Margin of Error,"±25,030"
    Nonfamily households,
        Estimate,"65,509"
        Margin of Error,"±12,852"
ZCTA5 97222,
    Households,
        Estimate,"64,905"
        Margin of Error,"±4,618"
    Families,
        Estimate,"84,257"
        Margin of Error,"±4,852"
    Married-couple families,
        Estimate,"96,875"
        Margin of Error,"±6,382"
    Nonfamily households,
        Estimate,"43,886"
        Margin of Error,"±7,136"
ZCTA5 97223,
    Households,
        Estimate,"90,883"
        Margin of Error,"±3,810"
    Families,
        Estimate,"112,852"
        Margin of Error,"±6,121"
    Married-couple families,
        Estimate,"122,949"
        Margin of Error,"±5,961"
    Nonfamily households,
        Estimate,"50,049"
        Margin of Error,"±3,452"
ZCTA5 97224,
    Households,
        Estimate,"80,419"
        Margin of Error,"±3,358"
    Families,
        Estimate,"103,460"
        Margin of Error,"±8,502"
    Married-couple families,
        Estimate,"115,941"
        Margin of Error,"±10,320"
    Nonfamily households,
        Estimate,"48,579"
        Margin of Error,"±3,958"
ZCTA5 97225,
    Households,
        Estimate,"91,786"
        Margin of Error,"±8,101"
    Families,
        Estimate,"124,964"
        Margin of Error,"±11,571"
    Married-couple families,
        Estimate,"133,190"
        Margin of Error,"±12,842"
    Nonfamily households,
        Estimate,"54,443"
        Margin of Error,"±6,682"
ZCTA5 97227,
    Households,
        Estimate,"75,805"
        Margin of Error,"±15,308"
    Families,
        Estimate,"108,810"
        Margin of Error,"±33,308"
    Married-couple families,
        Estimate,"130,571"
        Margin of Error,"±20,046"
    Nonfamily households,
        Estimate,"68,879"
        Margin of Error,"±23,041"
ZCTA5 97229,
    Households,
        Estimate,"123,522"
        Margin of Error,"±7,452"
    Families,
        Estimate,"149,931"
        Margin of Error,"±9,408"
    Married-couple families,
        Estimate,"169,341"
        Margin of Error,"±5,740"
    Nonfamily households,
        Estimate,"54,343"
        Margin of Error,"±9,045"
ZCTA5 97230,
    Households,
        Estimate,"58,276"
        Margin of Error,"±3,872"
    Families,
        Estimate,"70,821"
        Margin of Error,"±6,739"
    Married-couple families,
        Estimate,"82,430"
        Margin of Error,"±5,421"
    Nonfamily households,
        Estimate,"38,973"
        Margin of Error,"±3,558"
ZCTA5 97231,
    Households,
        Estimate,"101,850"
        Margin of Error,"±30,426"
    Families,
        Estimate,"132,474"
        Margin of Error,"±22,063"
    Married-couple families,
        Estimate,"139,803"
        Margin of Error,"±46,265"
    Nonfamily households,
        Estimate,"66,535"
        Margin of Error,"±9,268"
ZCTA5 97232,
    Households,
        Estimate,"59,109"
        Margin of Error,"±5,591"
    Families,
        Estimate,"121,318"
        Margin of Error,"±7,796"
    Married-couple families,
        Estimate,"131,734"
        Margin of Error,"±19,457"
    Nonfamily households,
        Estimate,"43,998"
        Margin of Error,"±5,858"
ZCTA5 97233,
    Households,
        Estimate,"46,433"
        Margin of Error,"±2,050"
    Families,
        Estimate,"48,306"
        Margin of Error,"±3,817"
    Married-couple families,
        Estimate,"63,350"
        Margin of Error,"±8,881"
    Nonfamily households,
        Estimate,"33,000"
        Margin of Error,"±4,592"
ZCTA5 97236,
    Households,
        Estimate,"52,428"
        Margin of Error,"±3,033"
    Families,
        Estimate,"55,660"
        Margin of Error,"±7,126"
    Married-couple families,
        Estimate,"72,407"
        Margin of Error,"±8,198"
    Nonfamily households,
        Estimate,"33,168"
        Margin of Error,"±4,739"
ZCTA5 97239,
    Households,
        Estimate,"93,594"
        Margin of Error,"±7,025"
    Families,
        Estimate,"161,379"
        Margin of Error,"±10,507"
    Married-couple families,
        Estimate,"171,932"
        Margin of Error,"±13,193"
    Nonfamily households,
        Estimate,"76,702"
        Margin of Error,"±8,534"
ZCTA5 97266,
    Households,
        Estimate,"59,062"
        Margin of Error,"±4,274"
    Families,
        Estimate,"65,370"
        Margin of Error,"±6,579"
    Married-couple families,
        Estimate,"78,936"
        Margin of Error,"±3,858"
    Nonfamily households,
        Estimate,"46,799"
        Margin of Error,"±5,576"
ZCTA5 97267,
    Households,
        Estimate,"70,170"
        Margin of Error,"±3,291"
    Families,
        Estimate,"83,657"
        Margin of Error,"±4,511"
    Married-couple families,
        Estimate,"91,225"
        Margin of Error,"±6,443"
    Nonfamily households,
        Estimate,"49,159"
        Margin of Error,"±7,128"
ZCTA5 97301,
    Households,
        Estimate,"45,959"
        Margin of Error,"±2,036"
    Families,
        Estimate,"52,504"
        Margin of Error,"±3,372"
    Married-couple families,
        Estimate,"62,995"
        Margin of Error,"±9,416"
    Nonfamily households,
        Estimate,"31,043"
        Margin of Error,"±2,508"
ZCTA5 97302,
    Households,
        Estimate,"67,270"
        Margin of Error,"±4,349"
    Families,
        Estimate,"81,794"
        Margin of Error,"±5,263"
    Married-couple families,
        Estimate,"99,853"
        Margin of Error,"±7,243"
    Nonfamily households,
        Estimate,"44,153"
        Margin of Error,"±6,144"
ZCTA5 97303,
    Households,
        Estimate,"64,369"
        Margin of Error,"±4,270"
    Families,
        Estimate,"76,026"
        Margin of Error,"±4,092"
    Married-couple families,
        Estimate,"92,368"
        Margin of Error,"±6,820"
    Nonfamily households,
        Estimate,"41,995"
        Margin of Error,"±6,776"
ZCTA5 97304,
    Households,
        Estimate,"74,583"
        Margin of Error,"±5,220"
    Families,
        Estimate,"93,768"
        Margin of Error,"±9,011"
    Married-couple families,
        Estimate,"103,827"
        Margin of Error,"±4,788"
    Nonfamily households,
        Estimate,"39,612"
        Margin of Error,"±12,016"
ZCTA5 97305,
    Households,
        Estimate,"56,787"
        Margin of Error,"±3,629"
    Families,
        Estimate,"59,510"
        Margin of Error,"±5,660"
    Married-couple families,
        Estimate,"71,109"
        Margin of Error,"±4,145"
    Nonfamily households,
        Estimate,"36,975"
        Margin of Error,"±5,638"
ZCTA5 97306,
    Households,
        Estimate,"71,775"
        Margin of Error,"±4,461"
    Families,
        Estimate,"85,918"
        Margin of Error,"±9,236"
    Married-couple families,
        Estimate,"104,429"
        Margin of Error,"±9,668"
    Nonfamily households,
        Estimate,"50,244"
        Margin of Error,"±10,324"
ZCTA5 97317,
    Households,
        Estimate,"70,838"
        Margin of Error,"±5,575"
    Families,
        Estimate,"75,994"
        Margin of Error,"±14,081"
    Married-couple families,
        Estimate,"87,348"
        Margin of Error,"±4,944"
    Nonfamily households,
        Estimate,"46,744"
        Margin of Error,"±6,163"
ZCTA5 97321,
    Households,
        Estimate,"76,107"
        Margin of Error,"±4,681"
    Families,
        Estimate,"92,885"
        Margin of Error,"±7,239"
    Married-couple families,
        Estimate,"103,959"
        Margin of Error,"±4,860"
    Nonfamily households,
        Estimate,"41,387"
        Margin of Error,"±2,373"
ZCTA5 97322,
    Households,
        Estimate,"60,148"
        Margin of Error,"±4,362"
    Families,
        Estimate,"68,492"
        Margin of Error,"±6,126"
    Married-couple families,
        Estimate,"77,966"
        Margin of Error,"±7,295"
    Nonfamily households,
        Estimate,"37,965"
        Margin of Error,"±2,355"
ZCTA5 97324,
    Households,
        Estimate,"57,500"
        Margin of Error,"±12,199"
    Families,
        Estimate,"68,281"
        Margin of Error,"±27,598"
    Married-couple families,
        Estimate,"80,227"
        Margin of Error,"±44,077"
    Nonfamily households,
        Estimate,"22,159"
        Margin of Error,"±16,574"
ZCTA5 97325,
    Households,
        Estimate,"64,387"
        Margin of Error,"±10,537"
    Families,
        Estimate,"78,397"
        Margin of Error,"±23,580"
    Married-couple families,
        Estimate,"110,660"
        Margin of Error,"±15,143"
    Nonfamily households,
        Estimate,"43,828"
        Margin of Error,"±27,241"
ZCTA5 97326,
    Households,
        Estimate,"65,139"
        Margin of Error,"±24,952"
    Families,
        Estimate,"72,500"
        Margin of Error,"±33,129"
    Married-couple families,
        Estimate,"71,875"
        Margin of Error,"±30,646"
    Nonfamily households,
        Estimate,-
        Margin of Error,**
ZCTA5 97327,
    Households,
        Estimate,"69,637"
        Margin of Error,"±7,879"
    Families,
        Estimate,"90,074"
        Margin of Error,"±20,055"
    Married-couple families,
        Estimate,"100,089"
        Margin of Error,"±20,451"
    Nonfamily households,
        Estimate,"46,500"
        Margin of Error,"±24,423"
ZCTA5 97329,
    Households,
        Estimate,-
        Margin of Error,**
    Families,
        Estimate,-
        Margin of Error,**
    Married-couple families,
        Estimate,-
        Margin of Error,**
    Nonfamily households,
        Estimate,-
        Margin of Error,**
ZCTA5 97330,
    Households,
        Estimate,"59,600"
        Margin of Error,"±3,039"
    Families,
        Estimate,"87,492"
        Margin of Error,"±5,726"
    Married-couple families,
        Estimate,"101,213"
        Margin of Error,"±6,273"
    Nonfamily households,
        Estimate,"35,999"
        Margin of Error,"±4,146"
ZCTA5 97331,
    Households,
        Estimate,-
        Margin of Error,**
    Families,
        Estimate,-
        Margin of Error,**
    Married-couple families,
        Estimate,-
        Margin of Error,**
    Nonfamily households,
        Estimate,-
        Margin of Error,**
ZCTA5 97333,
    Households,
        Estimate,"56,466"
        Margin of Error,"±5,558"
    Families,
        Estimate,"83,575"
        Margin of Error,"±12,042"
    Married-couple families,
        Estimate,"95,718"
        Margin of Error,"±5,321"
    Nonfamily households,
        Estimate,"30,470"
        Margin of Error,"±4,992"
ZCTA5 97338,
    Households,
        Estimate,"61,745"
        Margin of Error,"±3,498"
    Families,
        Estimate,"80,010"
        Margin of Error,"±5,277"
    Married-couple families,
        Estimate,"84,485"
        Margin of Error,"±7,799"
    Nonfamily households,
        Estimate,"38,730"
        Margin of Error,"±6,080"
ZCTA5 97341,
    Households,
        Estimate,"48,250"
        Margin of Error,"±3,963"
    Families,
        Estimate,"59,514"
        Margin of Error,"±14,814"
    Married-couple families,
        Estimate,"63,869"
        Margin of Error,"±23,522"
    Nonfamily households,
        Estimate,"19,547"
        Margin of Error,"±15,585"
ZCTA5 97342,
    Households,
        Estimate,"54,375"
        Margin of Error,"±26,034"
    Families,
        Estimate,"86,667"
        Margin of Error,"±77,011"
    Married-couple families,
        Estimate,"86,667"
        Margin of Error,"±77,011"
    Nonfamily households,
        Estimate,"26,563"
        Margin of Error,"±18,587"
ZCTA5 97343,
    Households,
        Estimate,-
        Margin of Error,**
    Families,
        Estimate,"87,386"
        Margin of Error,"±74,144"
    Married-couple families,
        Estimate,"121,071"
        Margin of Error,"±64,899"
    Nonfamily households,
        Estimate,-
        Margin of Error,**
ZCTA5 97344,
    Households,
        Estimate,"43,385"
        Margin of Error,"±12,773"
    Families,
        Estimate,"49,250"
        Margin of Error,"±12,497"
    Married-couple families,
        Estimate,"67,557"
        Margin of Error,"±21,627"
    Nonfamily households,
        Estimate,"22,500"
        Margin of Error,"±12,778"
ZCTA5 97345,
    Households,
        Estimate,"34,219"
        Margin of Error,"±21,480"
    Families,
        Estimate,"45,792"
        Margin of Error,"±22,141"
    Married-couple families,
        Estimate,"45,333"
        Margin of Error,"±28,935"
    Nonfamily households,
        Estimate,-
        Margin of Error,**
ZCTA5 97346,
    Households,
        Estimate,"71,250"
        Margin of Error,"±27,587"
    Families,
        Estimate,"71,667"
        Margin of Error,"±32,329"
    Married-couple families,
        Estimate,"80,507"
        Margin of Error,"±31,241"
    Nonfamily households,
        Estimate,-
        Margin of Error,**
ZCTA5 97347,
    Households,
        Estimate,"39,214"
        Margin of Error,"±6,372"
    Families,
        Estimate,"42,829"
        Margin of Error,"±16,568"
    Married-couple families,
        Estimate,"56,406"
        Margin of Error,"±15,126"
    Nonfamily households,
        Estimate,"23,750"
        Margin of Error,"±8,971"
ZCTA5 97348,
    Households,
        Estimate,"81,219"
        Margin of Error,"±19,918"
    Families,
        Estimate,"84,750"
        Margin of Error,"±18,493"
    Married-couple families,
        Estimate,"84,722"
        Margin of Error,"±30,339"
    Nonfamily households,
        Estimate,"63,125"
        Margin of Error,"±34,783"
ZCTA5 97350,
    Households,
        Estimate,"65,625"
        Margin of Error,"±26,438"
    Families,
        Estimate,"67,188"
        Margin of Error,"±30,131"
    Married-couple families,
        Estimate,"66,875"
        Margin of Error,"±28,166"
    Nonfamily households,
        Estimate,-
        Margin of Error,**
ZCTA5 97351,
    Households,
        Estimate,"55,772"
        Margin of Error,"±10,812"
    Families,
        Estimate,"66,210"
        Margin of Error,"±3,550"
    Married-couple families,
        Estimate,"72,179"
        Margin of Error,"±10,552"
    Nonfamily households,
        Estimate,"35,234"
        Margin of Error,"±9,776"
ZCTA5 97352,
    Households,
        Estimate,"73,850"
        Margin of Error,"±14,872"
    Families,
        Estimate,"78,173"
        Margin of Error,"±15,051"
    Married-couple families,
        Estimate,"92,904"
        Margin of Error,"±8,973"
    Nonfamily households,
        Estimate,"38,438"
        Margin of Error,"±13,848"
ZCTA5 97355,
    Households,
        Estimate,"54,799"
        Margin of Error,"±5,247"
    Families,
        Estimate,"66,839"
        Margin of Error,"±3,962"
    Married-couple families,
        Estimate,"74,636"
        Margin of Error,"±6,904"
    Nonfamily households,
        Estimate,"27,052"
        Margin of Error,"±3,701"
ZCTA5 97357,
    Households,
        Estimate,"53,333"
        Margin of Error,"±8,460"
    Families,
        Estimate,"54,345"
        Margin of Error,"±36,384"
    Married-couple families,
        Estimate,"83,864"
        Margin of Error,"±30,354"
    Nonfamily households,
        Estimate,-
        Margin of Error,**
ZCTA5 97358,
    Households,
        Estimate,"68,704"
        Margin of Error,"±10,650"
    Families,
        Estimate,"85,813"
        Margin of Error,"±13,824"
    Married-couple families,
        Estimate,"90,368"
        Margin of Error,"±10,108"
    Nonfamily households,
        Estimate,"29,875"
        Margin of Error,"±18,778"
ZCTA5 97360,
    Households,
        Estimate,"52,075"
        Margin of Error,"±8,067"
    Families,
        Estimate,"58,554"
        Margin of Error,"±6,406"
    Married-couple families,
        Estimate,"59,167"
        Margin of Error,"±8,778"
    Nonfamily households,
        Estimate,"15,667"
        Margin of Error,"±10,331"
ZCTA5 97361,
    Households,
        Estimate,"56,058"
        Margin of Error,"±17,695"
    Families,
        Estimate,"78,661"
        Margin of Error,"±6,358"
    Married-couple families,
        Estimate,"81,916"
        Margin of Error,"±12,831"
    Nonfamily households,
        Estimate,"21,319"
        Margin of Error,"±9,689"
ZCTA5 97362,
    Households,
        Estimate,"63,372"
        Margin of Error,"±12,876"
    Families,
        Estimate,"82,614"
        Margin of Error,"±19,479"
    Married-couple families,
        Estimate,"88,571"
        Margin of Error,"±25,312"
    Nonfamily households,
        Estimate,"20,625"
        Margin of Error,"±4,481"
ZCTA5 97364,
    Households,
        Estimate,"87,613"
        Margin of Error,"±75,156"
    Families,
        Estimate,"88,788"
        Margin of Error,"±1,159"
    Married-couple families,
        Estimate,"88,700"
        Margin of Error,±738
    Nonfamily households,
        Estimate,"31,538"
        Margin of Error,"±29,064"
ZCTA5 97365,
    Households,
        Estimate,"49,529"
        Margin of Error,"±6,793"
    Families,
        Estimate,"67,760"
        Margin of Error,"±13,050"
    Married-couple families,
        Estimate,"82,301"
        Margin of Error,"±12,492"
    Nonfamily households,
        Estimate,"33,138"
        Margin of Error,"±6,726"
ZCTA5 97366,
    Households,
        Estimate,"70,497"
        Margin of Error,"±9,042"
    Families,
        Estimate,"70,942"
        Margin of Error,"±5,180"
    Married-couple families,
        Estimate,"70,833"
        Margin of Error,"±23,560"
    Nonfamily households,
        Estimate,"60,885"
        Margin of Error,"±18,483"
ZCTA5 97367,
    Households,
        Estimate,"46,563"
        Margin of Error,"±3,800"
    Families,
        Estimate,"54,756"
        Margin of Error,"±4,825"
    Married-couple families,
        Estimate,"61,071"
        Margin of Error,"±9,174"
    Nonfamily households,
        Estimate,"29,707"
        Margin of Error,"±4,245"
ZCTA5 97368,
    Households,
        Estimate,"43,594"
        Margin of Error,"±8,712"
    Families,
        Estimate,"47,742"
        Margin of Error,"±6,100"
    Married-couple families,
        Estimate,"57,955"
        Margin of Error,"±10,152"
    Nonfamily households,
        Estimate,"27,113"
        Margin of Error,"±8,964"
ZCTA5 97369,
    Households,
        Estimate,"53,194"
        Margin of Error,"±17,874"
    Families,
        Estimate,-
        Margin of Error,**
    Married-couple families,
        Estimate,-
        Margin of Error,**
    Nonfamily households,
        Estimate,"42,969"
        Margin of Error,"±26,785"
ZCTA5 97370,
    Households,
        Estimate,"85,000"
        Margin of Error,"±5,226"
    Families,
        Estimate,"91,154"
        Margin of Error,"±9,185"
    Married-couple families,
        Estimate,"98,261"
        Margin of Error,"±18,155"
    Nonfamily households,
        Estimate,"46,250"
        Margin of Error,"±17,511"
ZCTA5 97371,
    Households,
        Estimate,-
        Margin of Error,**
    Families,
        Estimate,"139,211"
        Margin of Error,"±95,183"
    Married-couple families,
        Estimate,"139,211"
        Margin of Error,"±95,183"
    Nonfamily households,
        Estimate,-
        Margin of Error,**
ZCTA5 97373,
    Households,
        Estimate,-
        Margin of Error,**
    Families,
        Estimate,-
        Margin of Error,**
    Married-couple families,
        Estimate,-
        Margin of Error,**
    Nonfamily households,
        Estimate,-
        Margin of Error,**
ZCTA5 97374,
    Households,
        Estimate,"70,362"
        Margin of Error,"±13,480"
    Families,
        Estimate,"70,625"
        Margin of Error,"±14,633"
    Married-couple families,
        Estimate,"87,143"
        Margin of Error,"±22,050"
    Nonfamily households,
        Estimate,"62,059"
        Margin of Error,"±43,855"
ZCTA5 97375,
    Households,
        Estimate,"71,422"
        Margin of Error,"±9,431"
    Families,
        Estimate,"73,068"
        Margin of Error,"±7,406"
    Married-couple families,
        Estimate,"73,068"
        Margin of Error,"±5,679"
    Nonfamily households,
        Estimate,-
        Margin of Error,**
ZCTA5 97376,
    Households,
        Estimate,"54,226"
        Margin of Error,"±15,238"
    Families,
        Estimate,"56,528"
        Margin of Error,"±31,979"
    Married-couple families,
        Estimate,"60,750"
        Margin of Error,"±35,029"
    Nonfamily households,
        Estimate,"51,912"
        Margin of Error,"±29,184"
ZCTA5 97377,
    Households,
        Estimate,"73,125"
        Margin of Error,"±41,081"
    Families,
        Estimate,"85,972"
        Margin of Error,"±45,815"
    Married-couple families,
        Estimate,"110,292"
        Margin of Error,"±58,535"
    Nonfamily households,
        Estimate,"43,333"
        Margin of Error,"±18,106"
ZCTA5 97378,
    Households,
        Estimate,"62,595"
        Margin of Error,"±10,303"
    Families,
        Estimate,"73,060"
        Margin of Error,"±8,226"
    Married-couple families,
        Estimate,"78,532"
        Margin of Error,"±6,844"
    Nonfamily households,
        Estimate,"29,656"
        Margin of Error,"±14,490"
ZCTA5 97380,
    Households,
        Estimate,"53,523"
        Margin of Error,"±10,704"
    Families,
        Estimate,"70,625"
        Margin of Error,"±16,243"
    Married-couple families,
        Estimate,"81,023"
        Margin of Error,"±19,789"
    Nonfamily households,
        Estimate,"44,034"
        Margin of Error,"±3,603"
ZCTA5 97381,
    Households,
        Estimate,"76,026"
        Margin of Error,"±4,517"
    Families,
        Estimate,"82,844"
        Margin of Error,"±11,124"
    Married-couple families,
        Estimate,"99,314"
        Margin of Error,"±13,053"
    Nonfamily households,
        Estimate,"41,530"
        Margin of Error,"±13,976"
ZCTA5 97383,
    Households,
        Estimate,"63,610"
        Margin of Error,"±5,899"
    Families,
        Estimate,"72,123"
        Margin of Error,"±7,546"
    Married-couple families,
        Estimate,"74,559"
        Margin of Error,"±9,889"
    Nonfamily households,
        Estimate,"27,558"
        Margin of Error,"±7,781"
ZCTA5 97384,
    Households,
        Estimate,-
        Margin of Error,**
    Families,
        Estimate,-
        Margin of Error,**
    Married-couple families,
        Estimate,-
        Margin of Error,**
    Nonfamily households,
        Estimate,-
        Margin of Error,**
ZCTA5 97385,
    Households,
        Estimate,"81,359"
        Margin of Error,"±16,345"
    Families,
        Estimate,"100,866"
        Margin of Error,"±5,591"
    Married-couple families,
        Estimate,"101,676"
        Margin of Error,"±8,941"
    Nonfamily households,
        Estimate,"30,455"
        Margin of Error,"±8,412"
ZCTA5 97386,
    Households,
        Estimate,"52,333"
        Margin of Error,"±4,627"
    Families,
        Estimate,"63,183"
        Margin of Error,"±8,403"
    Married-couple families,
        Estimate,"65,781"
        Margin of Error,"±3,760"
    Nonfamily households,
        Estimate,"26,167"
        Margin of Error,"±7,549"
ZCTA5 97388,
    Households,
        Estimate,"59,150"
        Margin of Error,"±5,126"
    Families,
        Estimate,"59,296"
        Margin of Error,"±2,175"
    Married-couple families,
        Estimate,"59,260"
        Margin of Error,±852
    Nonfamily households,
        Estimate,-
        Margin of Error,**
ZCTA5 97389,
    Households,
        Estimate,"70,688"
        Margin of Error,"±11,001"
    Families,
        Estimate,"77,602"
        Margin of Error,"±9,527"
    Married-couple families,
        Estimate,"78,873"
        Margin of Error,"±4,065"
